iter	RMSE
0	71728423.04
1	69045736.77
2	66404692.57
3	64087947.5
4	61661101.46
5	59831023.08
6	57804860.02
7	55738484.51
8	54097056.11
9	52145017.96
10	50973150.86
11	49268941.02
12	48118891.88
13	47275471.11
14	46239980.42
15	44995865.27
16	44241403.95
17	43604120.27
18	43072192.57
19	42246637.92
20	41137693.88
21	40990440.98
22	40029195.02
23	39484986.23
24	38877038.03
25	38300296.11
26	37465207.42
27	36943507.83
28	36421545
29	35890848.61
30	35462499.79
31	34920541.31
32	34335789.23
33	33486572.21
34	32734867.02
35	32587151.61
36	32330574.21
37	31963025.54
38	31733632.18
39	31381634.95
40	31147643.17
41	30688892.67
42	30482631.29
43	30019126.09
44	29550731.24
45	29150193.77
46	28849056.25
47	28497849.22
48	28198860.82
49	27858396.93
50	27601638.67
51	27306796
52	26789712.51
53	26357008.26
54	25956668.46
55	25606691.24
56	25339239.94
57	25098619.47
58	24817743.06
59	24524524.8
60	23963671.67
61	23687969.65
62	23373881.21
63	23068376.95
64	22913034.36
65	22695146.27
66	22374688.97
67	22164062.91
68	21853121.83
69	21618465.79
70	21354785.75
71	21059695.62
72	20790919.22
73	20490279.33
74	20108003.33
75	19936981.8
76	19758648.47
77	19524278.59
78	19299236
79	18900943.79
80	18679236.41
81	18515486.7
82	18305479.68
83	17923584.49
84	17698828.77
85	17527192
86	17325328.63
87	17248840.56
88	17177683.38
89	16900042.81
90	16756250.43
91	16687080.93
92	16543326.32
93	16379264.59
94	16313574.18
95	16184448.82
96	16022262.13
97	15961141.12
98	15832944.27
99	15775445.02
